pasos,media,std,maximo,minimo,episodios,segundos
250000,158.0,60.5,310,110,10,15
500000,254.0,71.1,405,170,10,18
750000,353.5,176.2,625,75,10,21
1000000,433.5,107.5,600,280,10,21
1250000,335.0,136.1,570,125,10,17
1500000,432.5,85.9,600,305,10,21
1750000,492.0,162.0,745,180,10,22
2000000,385.5,127.5,580,185,10,23
2250000,495.0,135.5,730,295,10,26
2500000,530.0,170.0,860,310,10,25
2750000,491.0,72.6,600,360,10,24
3000000,572.5,50.9,695,510,10,26
3250000,702.0,217.5,1245,515,10,30
3500000,618.5,294.8,1430,270,10,27
3750000,533.5,79.2,675,390,10,23
4000000,653.0,180.5,1115,485,10,26
4250000,778.0,245.1,1230,515,10,32
4500000,731.0,186.5,1105,555,10,28
4750000,729.5,182.4,1045,570,10,29
5000000,994.0,557.7,2380,570,10,35
5250000,861.5,398.5,1940,545,10,33
5500000,820.5,293.4,1245,545,10,32
5750000,698.0,264.9,1230,515,10,27
6000000,568.5,23.5,600,540,10,21
6250000,799.5,470.8,2045,540,10,29
6500000,735.5,294.6,1360,540,10,26
6750000,668.0,204.7,1145,540,10,25
7000000,1114.0,275.0,1405,570,10,42
7250000,751.5,269.3,1175,540,10,22
7500000,700.5,202.2,1110,540,10,22
7750000,784.0,266.7,1230,570,10,24
8000000,1205.0,441.1,2120,570,10,37
8250000,1248.5,395.5,1790,570,10,42
8500000,882.0,559.3,2375,545,10,32
8750000,1192.0,511.5,2170,570,10,42
9000000,832.0,328.4,1405,600,10,31
9250000,1300.0,568.7,2095,570,10,45
9500000,982.5,401.5,1860,580,10,34
9750000,967.0,479.6,2060,570,10,33
10000000,862.5,299.2,1230,540,10,31
