candidato,politica,pesos,episodios,media,std,error_std,max_observado,esperado_max5,p90_max5
mejor,greedy,runs\ppo-base-10M\mejor\best_model.zip,30,1041.5,348.1358690703004,63.56062285548953,1900.0,1408.91075,1900.0
mejor,estocastica,runs\ppo-base-10M\mejor\best_model.zip,30,749.8333333333334,267.8042921405273,48.89415060069009,1430.0,1098.61775,1430.0
final,greedy,runs\ppo-base-10M\modelo.zip,30,1029.6666666666667,438.42318470729725,80.0447559991469,2025.0,1550.9585,2025.0
final,estocastica,runs\ppo-base-10M\modelo.zip,30,892.6666666666666,372.0545061621423,67.92754854881672,1735.0,1345.258,1735.0
ckpt-1M,greedy,runs\ppo-base-10M\checkpoints\ckpt_1000000_steps.zip,30,480.8333333333333,152.35421082318518,27.815945999585416,800.0,660.59175,800.0
ckpt-1M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_1000000_steps.zip,30,445.3333333333333,155.49883886669022,28.39007390438243,805.0,630.05575,805.0
ckpt-2M,greedy,runs\ppo-base-10M\checkpoints\ckpt_2000000_steps.zip,30,483.6666666666667,160.1298084541275,29.235569406435694,950.0,679.88775,950.0
ckpt-2M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_2000000_steps.zip,30,472.6666666666667,166.6069893158414,30.41813542876951,770.0,652.0685,770.0
ckpt-3M,greedy,runs\ppo-base-10M\checkpoints\ckpt_3000000_steps.zip,30,578.1666666666666,203.21779504320537,37.10232347720837,1025.0,819.21,1025.0
ckpt-3M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_3000000_steps.zip,30,578.5,179.26307483695575,32.728809938645796,1005.0,783.17025,1005.0
ckpt-4M,greedy,runs\ppo-base-10M\checkpoints\ckpt_4000000_steps.zip,30,625.0,163.75795146088836,29.897974661988208,1085.0,831.4475,1085.0
ckpt-4M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_4000000_steps.zip,30,597.8333333333334,138.6282999807599,25.30994900268506,1070.0,761.35625,1070.0
ckpt-5M,greedy,runs\ppo-base-10M\checkpoints\ckpt_5000000_steps.zip,30,811.0,300.7695684961052,54.91275909213732,1405.0,1187.53275,1405.0
ckpt-5M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_5000000_steps.zip,30,730.3333333333334,281.3210897809753,51.36196892499208,1405.0,1101.01175,1405.0
ckpt-6M,greedy,runs\ppo-base-10M\checkpoints\ckpt_6000000_steps.zip,30,848.8333333333334,293.3561070704948,53.55925240813691,1405.0,1197.82075,1405.0
ckpt-6M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_6000000_steps.zip,30,687.5,218.0624910432787,39.81258176339066,1185.0,964.34275,1185.0
ckpt-7M,greedy,runs\ppo-base-10M\checkpoints\ckpt_7000000_steps.zip,30,833.5,312.4130545714546,57.03855908262605,1405.0,1213.658,1405.0
ckpt-7M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_7000000_steps.zip,30,775.6666666666666,290.4471648261618,53.028154646236615,1375.0,1143.204,1375.0
ckpt-8M,greedy,runs\ppo-base-10M\checkpoints\ckpt_8000000_steps.zip,30,1102.8333333333333,414.8487341456188,75.74066988133968,2490.0,1600.08475,2490.0
ckpt-8M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_8000000_steps.zip,30,806.5,297.5375326464433,54.3226727782956,1405.0,1179.45825,1405.0
ckpt-9M,greedy,runs\ppo-base-10M\checkpoints\ckpt_9000000_steps.zip,30,1134.1666666666667,558.365297592495,101.94308960649819,2735.0,1846.802,2735.0
ckpt-9M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_9000000_steps.zip,30,853.8333333333334,330.11786615624965,60.271000643083056,1430.0,1251.871,1430.0
ckpt-10M,greedy,runs\ppo-base-10M\checkpoints\ckpt_10000000_steps.zip,30,1029.6666666666667,438.42318470729725,80.0447559991469,2025.0,1550.9585,2025.0
ckpt-10M,estocastica,runs\ppo-base-10M\checkpoints\ckpt_10000000_steps.zip,30,903.5,388.8169020674556,70.98792933387416,1805.0,1404.71175,1805.0
