pasos,media,std,maximo,minimo,episodios,segundos
250000,19.5,11.5,45,10,10,13
500000,353.5,76.1,440,200,10,55
750000,545.0,102.7,755,370,10,103
1000000,625.5,258.2,1235,295,10,41
1250000,581.5,150.9,805,285,10,28
1500000,499.0,209.6,905,140,10,74
1750000,818.5,373.0,1560,515,10,110
2000000,718.0,278.5,1515,540,10,25
2250000,891.0,304.8,1330,515,10,37
2500000,746.5,192.6,1130,485,10,29
2750000,639.0,176.6,1080,455,10,25
3000000,620.5,191.6,1175,420,10,26
3250000,950.0,307.9,1545,570,10,29
3500000,720.5,239.6,1180,335,10,27
3750000,738.0,297.6,1230,305,10,30
4000000,772.0,306.9,1355,465,10,25
4250000,865.5,413.6,1760,515,10,34
4500000,992.0,427.9,1830,575,10,40
4750000,819.0,413.4,1720,330,10,34
5000000,848.0,342.6,1655,490,10,34
